symbol,entry_date,exit_date,entry_price,exit_price,return,exit_reason,group_id,highlight
ADI,2021-10-04,2021-11-05,155.297,171.54,0.10459313444561058,take_profit,144,True
IBM,2021-10-21,2021-10-27,108.153,101.397,-0.06246706055310536,stop_loss,143,True
IBM,2021-10-27,2021-12-28,103.236,113.882,0.10312294160951607,take_profit,148,True
CSCO,2021-11-18,2021-12-07,46.833,51.585,0.10146691435526245,take_profit,145,True
AMD,2021-12-07,2021-12-13,143.9,133.8,-0.07018763029881858,stop_loss,146,True
NVDA,2021-12-13,2021-12-14,30.192,28.284,-0.06319554848966613,stop_loss,147,True
ADI,2021-12-14,2022-01-18,165.438,155.667,-0.05906140064555898,stop_loss,150,True
AMD,2021-12-31,2022-01-05,146.16,136.15,-0.06848659003831414,stop_loss,149,True
ADBE,2022-01-05,2022-01-21,535.0,499.91,-0.06558878504672894,stop_loss,151,True
ACN,2022-01-18,2022-01-26,329.345,311.66,-0.053697490473515574,stop_loss,152,True
ADI,2022-01-21,2022-03-07,148.487,137.43,-0.07446443122966984,stop_loss,153,True
ADP,2022-01-26,2022-03-29,189.971,208.998,0.10015739244410993,take_profit,156,True
AMD,2022-03-07,2022-03-14,108.53,102.25,-0.05786418501796742,stop_loss,154,True
AAPL,2022-03-14,2022-03-22,148.671,165.723,0.11469620840648154,take_profit,155,True
ADBE,2022-03-23,2022-04-22,437.51,408.67,-0.06591849329158184,stop_loss,160,True
AMD,2022-03-31,2022-04-01,116.31,108.19,-0.06981342962771908,stop_loss,157,True
AMAT,2022-04-01,2022-04-05,128.639,117.826,-0.0840569345221901,stop_loss,158,True
AMAT,2022-04-05,2022-04-06,124.67,115.522,-0.07337771717333763,stop_loss,159,True
ADI,2022-04-06,2022-06-13,147.896,139.477,-0.05692513658246323,stop_loss,165,True
AMD,2022-04-22,2022-04-26,90.03,85.16,-0.05409308008441638,stop_loss,161,True
ADBE,2022-04-26,2022-05-09,410.17,376.91,-0.08108832922934395,stop_loss,162,True
AAPL,2022-05-09,2022-05-11,152.311,144.023,-0.05441497987669974,stop_loss,163,True
AAPL,2022-05-11,2022-05-12,150.905,140.15,-0.07127000430734565,stop_loss,164,True
AAPL,2022-05-12,2022-06-13,140.356,129.65,-0.07627746587249562,stop_loss,165,True
ACN,2022-06-13,2022-07-28,262.149,288.776,0.10157200675951472,take_profit,170,True
AAPL,2022-06-13,2022-07-07,130.624,143.876,0.10145149436550716,take_profit,167,True
NOW,2022-07-12,2022-07-13,461.25,422.77,-0.08342547425474256,stop_loss,168,True
ADBE,2022-07-13,2022-07-21,368.2,408.91,0.11056491037479632,take_profit,169,True
IBM,2022-07-21,2022-09-30,113.24,105.814,-0.06557753444012715,stop_loss,177,True
NOW,2022-07-28,2022-08-04,431.23,493.0,0.1432414256893073,take_profit,171,True
INTC,2022-08-04,2022-08-22,34.261,32.196,-0.060272613175330725,stop_loss,172,True
ADBE,2022-08-22,2022-08-26,419.41,381.02,-0.091533344460075,stop_loss,173,True
CRM,2022-08-26,2022-08-29,172.149,158.542,-0.079041992692377,stop_loss,174,True
AAPL,2022-08-29,2022-09-15,158.646,150.002,-0.05448608852413539,stop_loss,175,True
AAPL,2022-09-15,2022-09-29,152.247,140.266,-0.07869448987500594,stop_loss,176,True
ORCL,2022-09-29,2022-10-20,59.816,66.842,0.1174602113146983,take_profit,178,True
AAPL,2022-09-30,2022-10-28,139.085,153.32,0.10234748535068472,take_profit,179,True
MSFT,2022-10-26,2022-11-03,225.559,209.05,-0.07319149313483386,stop_loss,180,True
INTU,2022-11-02,2022-11-03,395.344,358.483,-0.09323778785058079,stop_loss,180,True
AAPL,2022-11-03,2022-12-16,139.852,132.639,-0.05157595172039009,stop_loss,187,True
ACN,2022-11-03,2022-11-23,254.681,281.32,0.10459751610838652,take_profit,182,True
INTU,2022-11-30,2022-12-01,368.796,408.653,0.10807329797503229,take_profit,183,True
CRM,2022-12-01,2022-12-05,146.014,132.536,-0.09230621721204824,stop_loss,184,True
CRM,2022-12-05,2022-12-06,141.314,131.883,-0.06673790282632985,stop_loss,185,True
AMD,2022-12-06,2022-12-09,73.08,68.59,-0.061439518336069976,stop_loss,186,True
AMD,2022-12-09,2022-12-16,69.49,65.41,-0.0587134839545258,stop_loss,187,True
ACN,2022-12-16,2022-12-19,262.351,243.945,-0.0701579182088119,stop_loss,189,True
AAPL,2022-12-16,2022-12-28,134.789,124.287,-0.0779143698669772,stop_loss,190,True
ACN,2022-12-19,2023-02-02,251.357,282.059,0.12214499695652004,take_profit,193,True
AMAT,2022-12-28,2023-01-06,92.332,101.695,0.10140579647359527,take_profit,191,True
MSFT,2023-01-06,2023-01-26,218.2,242.662,0.112108157653529,take_profit,192,True
ADP,2023-01-26,2023-03-10,213.672,202.329,-0.05308603841401771,stop_loss,195,True
QCOM,2023-02-03,2023-02-21,123.155,116.15,-0.05687954204051804,stop_loss,194,True
ACN,2023-02-21,2023-03-10,260.864,242.594,-0.07003649411187429,stop_loss,195,True
ORCL,2023-03-10,2023-03-31,81.78,90.025,0.10081927121545609,take_profit,197,True
ACN,2023-03-13,2023-03-29,242.747,268.478,0.10599925024820078,take_profit,197,True
AMD,2023-04-06,2023-04-25,91.47,83.8,-0.0838526292773587,stop_loss,199,True
AMAT,2023-04-06,2023-05-17,111.621,122.883,0.10089499287768433,take_profit,200,True
CSCO,2023-04-25,2023-07-11,44.069,48.855,0.10860241893394429,take_profit,204,True
ADI,2023-05-24,2023-06-13,164.138,184.994,0.12706381215806206,take_profit,201,True
AMD,2023-06-20,2023-06-21,119.09,112.11,-0.058611134436140744,stop_loss,202,True
AMD,2023-06-21,2023-06-22,118.49,110.7,-0.0657439446366781,stop_loss,203,True
ACN,2023-06-22,2023-09-01,287.123,316.701,0.10301508412770843,take_profit,207,True
AMAT,2023-07-20,2023-07-28,135.078,148.908,0.10238528849997763,take_profit,205,True
AMD,2023-08-03,2023-08-24,108.95,101.8,-0.06562643414410285,stop_loss,206,True
AMD,2023-08-25,2023-09-21,101.17,96.11,-0.05001482652960365,stop_loss,208,True
AVGO,2023-09-05,2023-09-21,84.34,78.836,-0.06525966326772592,stop_loss,208,True
ADBE,2023-09-21,2023-11-07,519.48,585.2,0.1265111265111265,take_profit,210,True
AMAT,2023-09-21,2023-11-10,132.621,148.003,0.11598464798184271,take_profit,210,True
CSCO,2023-11-16,2024-01-23,44.761,49.248,0.10024351556042088,take_profit,213,True
AMAT,2023-11-17,2023-12-12,139.516,154.758,0.10924911838068763,take_profit,212,True
ORCL,2023-12-12,2024-01-24,100.634,112.445,0.11736590019277782,take_profit,213,True
INTC,2024-01-26,2024-03-25,43.596,41.398,-0.05041746949261383,stop_loss,215,True
TXN,2024-01-29,2024-04-29,155.897,171.693,0.10132330962109615,take_profit,218,True
ACN,2024-03-25,2024-04-12,327.23,308.347,-0.0577055893408307,stop_loss,216,True
INTC,2024-04-12,2024-04-19,36.311,33.847,-0.06785822478036951,stop_loss,217,True
AAPL,2024-04-19,2024-05-03,165.025,182.073,0.10330555976367228,take_profit,219,True
IBM,2024-04-29,2024-07-12,159.803,176.265,0.10301433640169444,take_profit,221,True
AMD,2024-05-03,2024-05-17,148.75,164.47,0.10568067226890765,take_profit,220,True
CSCO,2024-05-21,2024-09-19,45.2,49.766,0.10101769911504421,take_profit,233,True
AMAT,2024-07-12,2024-07-17,238.665,217.387,-0.08915425387048792,stop_loss,222,True
AMAT,2024-07-17,2024-07-18,228.421,214.997,-0.058768677135639824,stop_loss,223,True
AMAT,2024-07-18,2024-07-19,219.442,207.697,-0.053522115183055274,stop_loss,224,True
AMAT,2024-07-19,2024-07-24,214.849,204.012,-0.0504400765188574,stop_loss,225,True
INTC,2024-07-24,2024-07-29,32.325,30.636,-0.052250580046403816,stop_loss,226,True
AMAT,2024-07-29,2024-07-30,205.761,194.342,-0.05549642546449518,stop_loss,227,True
